episode,reward,steps,finished,offtrack_ratio,tiles_visited
164,-234.99999999999983,50,0,1.0,4
165,-214.99999999999983,50,0,1.0,6
166,-224.99999999999983,50,0,1.0,5
167,-234.9999999999998,50,0,1.0,4
168,-234.9999999999998,50,0,1.0,4
169,-244.9999999999998,50,0,1.0,3
170,-244.9999999999998,50,0,1.0,3
171,-244.99999999999983,50,0,1.0,3
172,-214.99999999999983,50,0,1.0,6
173,-234.99999999999983,50,0,1.0,4
174,-244.9999999999998,50,0,1.0,3
175,-244.9999999999998,50,0,1.0,3
176,-224.9999999999998,50,0,1.0,5
177,-234.9999999999998,50,0,1.0,4
178,-224.99999999999983,50,0,1.0,5
179,-234.9999999999998,50,0,1.0,4
180,-234.9999999999998,50,0,1.0,4
181,-234.99999999999983,50,0,1.0,4
182,-234.99999999999983,50,0,1.0,4
183,-224.9999999999998,50,0,1.0,5
184,-244.9999999999998,50,0,1.0,3
185,-214.9999999999998,50,0,1.0,6
186,-214.99999999999983,50,0,1.0,6
187,-234.9999999999998,50,0,1.0,4
188,-234.9999999999998,50,0,1.0,4
189,-234.9999999999998,50,0,1.0,4
190,-224.99999999999983,50,0,1.0,5
191,-234.9999999999998,50,0,1.0,4
192,-234.9999999999998,50,0,1.0,4
193,-234.9999999999998,50,0,1.0,4
194,-234.9999999999998,50,0,1.0,4
195,-214.99999999999983,50,0,1.0,6
196,-224.99999999999983,50,0,1.0,5
197,-244.9999999999998,50,0,1.0,3
198,-224.99999999999983,50,0,1.0,5
199,-224.99999999999983,50,0,1.0,5
200,-234.9999999999998,50,0,1.0,4
201,-234.9999999999998,50,0,1.0,4
202,-244.9999999999998,50,0,1.0,3
203,-234.99999999999983,50,0,1.0,4
204,-234.9999999999998,50,0,1.0,4
205,-224.9999999999998,50,0,1.0,5
206,-244.9999999999998,50,0,1.0,3
207,-244.9999999999998,50,0,1.0,3
208,-234.9999999999998,50,0,1.0,4
209,-224.9999999999998,50,0,1.0,5
210,-234.99999999999983,50,0,1.0,4
211,-234.9999999999998,50,0,1.0,4
212,-224.9999999999998,50,0,1.0,5
213,-234.9999999999998,50,0,1.0,4
214,-224.99999999999983,50,0,1.0,5
215,-234.99999999999983,50,0,1.0,4
216,-234.99999999999983,50,0,1.0,4
217,-234.9999999999998,50,0,1.0,4
218,-234.99999999999983,50,0,1.0,4
